
2025/03/24 (01:09:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/24 (01:09:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/24 (01:10:40) | ===> btop++ v.1.4.0
2025/03/24 (01:10:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/24 (01:10:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (01:10:43) | WARNING: Failed to join _runner thread on exit!

2025/03/24 (15:56:10) | ===> btop++ v.1.4.0
2025/03/24 (15:56:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/24 (15:56:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/24 (16:14:42) | ===> btop++ v.1.4.0
2025/03/24 (16:14:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/24 (16:14:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (16:14:51) | WARNING: Failed to join _runner thread on exit!

2025/03/24 (16:26:33) | ===> btop++ v.1.4.0
2025/03/24 (16:26:33) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/24 (16:26:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/24 (23:22:30) | ===> btop++ v.1.4.0
2025/03/24 (23:22:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/24 (23:22:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (23:36:12) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (11:40:48) | ===> btop++ v.1.4.0
2025/03/28 (11:40:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/28 (11:40:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (11:40:53) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (03:16:06) | ===> btop++ v.1.4.0
2025/03/30 (03:16:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/30 (03:16:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/30 (03:44:35) | ===> btop++ v.1.4.0
2025/03/30 (03:44:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/30 (03:44:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (15:22:36) | ===> btop++ v.1.4.0
2025/03/31 (15:22:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/03/31 (15:22:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (15:22:44) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (10:17:58) | ===> btop++ v.1.4.0
2025/04/07 (10:17:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/04/07 (10:17:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/07 (10:18:37) | WARNING: Failed to join _runner thread on exit!

2025/04/16 (23:39:40) | ===> btop++ v.1.4.0
2025/04/16 (23:39:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/04/16 (23:39:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/16 (23:39:50) | WARNING: Failed to join _runner thread on exit!

2025/04/17 (18:12:54) | ===> btop++ v.1.4.0
2025/04/17 (18:12:54) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/04/17 (18:12:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
